格林威治城 3室2厅 南,https://wlmq.lianjia.com/ershoufang/106110192968.html,格林威治城 经开万达,3室2厅,136.67,南,105.0,7683
带地下室医学院县医院御园公馆赛博特红光山,https://wlmq.lianjia.com/ershoufang/106110255358.html,御园公馆 美居,3室2厅,99.0,南 北,96.8,9778
秀城2代宅 4室2厅 南,https://wlmq.lianjia.com/ershoufang/106110261084.html,秀城2代宅 仓房沟,4室2厅,136.0,南,103.0,7574
宜品家春秋 2室2厅 南 北,https://wlmq.lianjia.com/ershoufang/106110230902.html,宜品家春秋 油运司,2室2厅,140.0,南 北,75.0,5358
宜品家春秋 3室1厅 东 西,https://wlmq.lianjia.com/ershoufang/106110231091.html,宜品家春秋 油运司,3室1厅,94.34,东 西,73.0,7738
南湖北路公交小区精装1楼低楼层两居室急售,https://wlmq.lianjia.com/ershoufang/106110224548.html,南湖北路公交住宅物业小区 王家梁,2室2厅,70.06,南 北,55.0,7851
新疆兵团水利水电工程集团小区 3室1厅 南 北,https://wlmq.lianjia.com/ershoufang/106110238256.html,新疆兵团水利水电工程集团小区 宣仁墩,3室1厅,87.0,南 北,45.0,5173
近高铁铁路局马德里春天电梯107平3居室清水房从未入住,https://wlmq.lianjia.com/ershoufang/106110130506.html,马德里春天小区 木材厂,3室2厅,107.0,南,86.0,8038
水区新民路鑫都大酒店楼上148平三室二厅好房，可办公,https://wlmq.lianjia.com/ershoufang/106110105911.html,泰琛大厦 未知商圈,3室2厅,148.0,南 西,87.0,5879
水塔巷 2室2厅 北 南,https://wlmq.lianjia.com/ershoufang/106110114643.html,水塔巷 珠江路,2室2厅,56.0,北 南,54.0,9643
采光充足，视野开阔，居住度舒适，配套齐全,https://wlmq.lianjia.com/ershoufang/106110228078.html,天山公寓 碱泉街,3室2厅,101.98,南,72.0,7061
中豪润园B区 楼栋位置好 楼层好 南北通透小三居,https://wlmq.lianjia.com/ershoufang/106110192946.html,中豪润园B区 西山,3室2厅,94.87,南 北,82.5,8697
天山区青年路方苑小区铂 金四楼两室南北通透,https://wlmq.lianjia.com/ershoufang/106110249125.html,方苑小区 青年路,2室2厅,80.58,南 北,63.0,7819
中泰茗居   复式带晒台  业主低价出售,https://wlmq.lianjia.com/ershoufang/106110248272.html,中泰茗居 经开万达,5室3厅,226.0,南 北,236.0,10443
满五唯一，精装，两居室，南北朝向，可按揭,https://wlmq.lianjia.com/ershoufang/106110223786.html,南湖北路公交住宅物业小区 王家梁,2室1厅,70.06,东,53.0,7565
专汽小区 2室1厅 南 北,https://wlmq.lianjia.com/ershoufang/106110251310.html,专汽小区 碱泉街,2室1厅,57.0,南 北,44.0,7720
南湖广场旁水区交警队家属院一楼三室两厅有钥匙看房,https://wlmq.lianjia.com/ershoufang/106110104807.html,水区交警队家属院 未知商圈,3室2厅,100.0,东 西,70.0,7000
珠江路广源小区 2室1厅中装 楼层好无遮挡,https://wlmq.lianjia.com/ershoufang/106110143910.html,广源小区 珠江路,2室1厅,71.2,西,60.0,8427
二期采光充足 视野开阔 带花园,https://wlmq.lianjia.com/ershoufang/106106584486.html,米东新城二期 天汇汽车城,5室2厅,147.0,南 北,65.0,4422
明润园 3室2厅 东 西,https://wlmq.lianjia.com/ershoufang/106109908509.html,明润园 小西沟,3室2厅,122.0,东 西,83.0,6804
沙区新北园春市场旁，2016年新建多层,https://wlmq.lianjia.com/ershoufang/106110117820.html,麒马山庄 西山,2室2厅,117.0,南 北,80.0,6838
小区 物业配套设施齐全，绿化面积大，出行方便；,https://wlmq.lianjia.com/ershoufang/106110085423.html,双宇博格达城 天汇汽车城,3室2厅,91.47,南 北,59.5,6505
嘉盛园 3室2厅 南 北,https://wlmq.lianjia.com/ershoufang/106110134861.html,嘉盛园 长春路,3室2厅,90.1,南 北,75.0,8325
天山花苑 3室1厅 东南,https://wlmq.lianjia.com/ershoufang/106110100741.html,天山花苑 碱泉街,3室1厅,76.0,东南,58.0,7632
15年 精装修 户型方正 南北通透 新风系统 钥匙看房,https://wlmq.lianjia.com/ershoufang/106110161647.html,耀和荣裕 天山区,3室2厅,95.79,南 北,103.0,10753
新洲城市花园瑞景苑 3室2厅 南 北,https://wlmq.lianjia.com/ershoufang/106110171364.html,新洲城市花园瑞景苑 美居,3室2厅,120.0,南 北,95.0,7917
蓝天森林花苑 2室2厅 南 北,https://wlmq.lianjia.com/ershoufang/106110186786.html,蓝天森林花苑 仓房沟,2室2厅,88.51,南 北,74.0,8361
北京路近铁路局财院家属院49㎡南北好楼层急售,https://wlmq.lianjia.com/ershoufang/106110216438.html,新疆财经大学职工住宅楼 二宫,1室1厅,49.0,南 北,35.0,7143
万科旁，三室南北户型，中高楼层,https://wlmq.lianjia.com/ershoufang/106110154872.html,中央郡 油运司,3室2厅,100.97,南,105.0,10400
一炮成功小区 3室2厅 南 北,https://wlmq.lianjia.com/ershoufang/106110159763.html,一炮成功小区 水磨沟区,3室2厅,86.3,南 北,65.0,7532
中海天悦府 3室1厅 南,https://wlmq.lianjia.com/ershoufang/106110223129.html,中海天悦府 植物园,3室1厅,115.0,南,120.0,10435
和田街小区 2室2厅 东 西,https://wlmq.lianjia.com/ershoufang/106110221589.html,和田街小区 自治区中医院,2室2厅,62.55,东 西,58.0,9273
八一中学家属院 南北通透 空户 单价低 大两室,https://wlmq.lianjia.com/ershoufang/106110230768.html,八一中学家属院 北门,2室2厅,73.32,南 北,150.0,20459
位置好，出行交通方便，看房提前预约,https://wlmq.lianjia.com/ershoufang/106110248257.html,红山路259号 水磨沟区,2室1厅,61.35,南,46.0,7498
中央郡全明户型洗手间带窗户，采光不错。,https://wlmq.lianjia.com/ershoufang/106110219341.html,中央郡 油运司,3室2厅,106.0,南,108.0,10189
新上珠江路五桥城市花园如意苑82平方精装南北朝向2室,https://wlmq.lianjia.com/ershoufang/106110248060.html,如意苑 珠江路,2室2厅,81.94,南 北,64.0,7811
阿勒泰路一运司家属院3楼精装好房急售,https://wlmq.lianjia.com/ershoufang/106110179862.html,友好宜和嘉园头宫小区 油运司,2室1厅,64.35,南 北,56.5,8781
此房视野开阔，下楼就是万达广场，低价出售,https://wlmq.lianjia.com/ershoufang/106110200905.html,广汇翠竹园 经开万达,3室1厅,123.0,南 北,111.0,9025
格林威治城 2室2厅 南 北,https://wlmq.lianjia.com/ershoufang/106110192864.html,格林威治城 经开万达,2室2厅,100.39,南 北,73.0,7272
友好劝业市场世家院子小区53.89平米四楼清新小户型,https://wlmq.lianjia.com/ershoufang/106110188900.html,石家园子家属院 友好,1室1厅,53.89,东,38.5,7145
长春路 河北东路国秀家园 小高层 南北 两室 精装修,https://wlmq.lianjia.com/ershoufang/106110167375.html,国秀家园 长春路,2室2厅,92.69,南 北,86.0,9279
宏达花苑 3室2厅 南 北,https://wlmq.lianjia.com/ershoufang/106110164054.html,宏达花苑 米东区,3室2厅,91.0,南 北,63.0,6924
：七一酱园 地，标建筑23中黄河路 生活设施完善 ，,https://wlmq.lianjia.com/ershoufang/106110203778.html,七一酱园高层商住楼 商贸城,4室2厅,169.0,南,124.0,7338
米东新城 3室2厅 南 北,https://wlmq.lianjia.com/ershoufang/106110182794.html,米东新城 天汇汽车城,3室2厅,116.21,南 北,82.0,7057
爆品！植物园四季风情园南区精装两室多层2楼！,https://wlmq.lianjia.com/ershoufang/106110210657.html,四季风情园南区 植物园,2室2厅,82.55,西 东,70.0,8480
